uncertainty_type,bin_index,count,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,rmse,rmse_mean,rmse_std,rmse_ci95_low,rmse_ci95_high,rmse_n,rmv,rmv_mean,rmv_std,rmv_ci95_low,rmv_ci95_high,rmv_n,mse,mse_mean,mse_std,mse_ci95_low,mse_ci95_high,mse_n,mean_variance,mean_variance_mean,mean_variance_std,mean_variance_ci95_low,mean_variance_ci95_high,mean_variance_n,ence_term,ence_term_mean,ence_term_std,ence_term_ci95_low,ence_term_ci95_high,ence_term_n,uncertainty_min,uncertainty_min_mean,uncertainty_min_std,uncertainty_min_ci95_low,uncertainty_min_ci95_high,uncertainty_min_n,uncertainty_max,uncertainty_max_mean,uncertainty_max_std,uncertainty_max_ci95_low,uncertainty_max_ci95_high,uncertainty_max_n
aleatoric,11,330.0,330.0,0.0,330.0,330.0,5,0.011086963328904891,0.011086963328904891,0.0005849401148566981,0.010360780683662682,0.0118131459741471,5,0.008613284963880165,0.008613284963880165,0.0001661621282031546,0.008407000507176075,0.008819569420584256,5,0.0001231944798068567,0.0001231944798068567,1.3125078154863634e-05,0.00010690015542829256,0.00013948880418542084,5,7.421076575128333e-05,7.421076575128333e-05,2.8841642496971933e-06,7.063017695088754e-05,7.779135455167911e-05,5,0.6585685090826398,0.6585685090826398,0.14126994835866302,0.4831868209632385,0.833950197202041,5,6.764198769815266e-05,6.764198769815266e-05,2.4241468957333545e-06,6.46324943150042e-05,7.065148108130112e-05,5,8.163251768564806e-05,8.163251768564806e-05,3.3635269892849627e-06,7.745681684998063e-05,8.580821852131549e-05,5
aleatoric,12,330.0,330.0,0.0,330.0,330.0,5,0.013249137520122542,0.013249137520122542,0.0010939131455629623,0.01189108270128908,0.014607192338956004,5,0.00959114165650935,0.00959114165650935,0.00022035696839419998,0.009317576205719132,0.009864707107299567,5,0.0001764969618031473,0.0001764969618031473,3.0412862525432468e-05,0.00013874045921908912,0.00021425346438720547,5,9.20288440300448e-05,9.20288440300448e-05,4.283479882715829e-06,8.67110539297122e-05,9.73466341303774e-05,5,0.9262463708252081,0.9262463708252081,0.38478378226893956,0.4485507952314305,1.4039419464189857,5,8.168454660335555e-05,8.168454660335555e-05,3.3642654372360194e-06,7.750792901044605e-05,8.586116419626506e-05,5,0.00010488829284440725,0.00010488829284440725,6.33108841474397e-06,9.702846853844833e-05,0.00011274811715036618,5
aleatoric,13,330.0,330.0,0.0,330.0,330.0,5,0.01451807251704639,0.01451807251704639,0.0007427713404169254,0.013595947938659068,0.015440197095433712,5,0.011266955625998004,0.011266955625998004,0.00033874380030688144,0.010846417073899361,0.011687494178096646,5,0.00021121579702153352,0.00021121579702153352,2.1232493487108588e-05,0.00018485640074498674,0.0002375751932980803,5,0.00012703608696800517,0.00012703608696800517,7.746711397855158e-06,0.00011741881635868715,0.0001366533575773232,5,0.6640113884441761,0.6640113884441761,0.15622254284739384,0.47006657848841255,0.8579561983999395,5,0.00010498649935470894,0.00010498649935470894,6.3430685807864526e-06,9.711180209261962e-05,0.00011286119661679826,5,0.0001579912699526176,0.0001579912699526176,8.581804807905842e-06,0.00014733726015217141,0.00016864527975306377,5
aleatoric,14,330.0,330.0,0.0,330.0,330.0,5,0.028547338463786896,0.028547338463786896,0.003971014064444857,0.023617463722132286,0.0334772132054415,5,0.02992638504798515,0.02992638504798515,0.0050481181669897466,0.02365932332509759,0.03619344677087271,5,0.0008275656955260219,0.0008275656955260219,0.00022199465319846856,0.0005519671164667202,0.0011031642745853237,5,0.0009159753196625828,0.0009159753196625828,0.0003089938781181246,0.000532370252961969,0.0012995803863631967,5,0.1883273413943293,0.1883273413943293,0.07012273308007182,0.10127242670075413,0.27538225608790445,5,0.0001582479482749477,0.0001582479482749477,8.406693106041672e-06,0.00014781133351314361,0.00016868456303675177,5,0.012870315834879876,0.012870315834879876,0.004992833140319801,0.006671888534371266,0.019068743135388484,5
epistemic,0,330.0,330.0,0.0,330.0,330.0,5,0.002837597971022098,0.002837597971022098,0.00011706422811719144,0.002692266835956749,0.002982929106087447,5,0.001738852945928053,0.001738852945928053,4.6065008614707885e-05,0.0016816648527210607,0.0017960410391350454,5,8.062925471952467e-06,8.062925471952467e-06,6.637499194320331e-07,7.2389032173144165e-06,8.886947726590518e-06,5,3.0253071555776073e-06,3.0253071555776073e-06,1.6224737901545185e-07,2.823882722743281e-06,3.2267315884119335e-06,5,1.6724920218957795,1.6724920218957795,0.28374150491504263,1.320236891206564,2.024747152584995,5,5.61550268685096e-07,5.61550268685096e-07,7.871600356484593e-08,4.638271099552166e-07,6.592734274149754e-07,5,4.393532890389906e-06,4.393532890389906e-06,1.692958513804938e-07,4.1833580262260126e-06,4.6037077545538e-06,5
epistemic,1,330.0,330.0,0.0,330.0,330.0,5,0.003576401540685485,0.003576401540685485,0.0002572686541697693,0.003257011526087708,0.003895791555283262,5,0.00234740146582451,0.00234740146582451,3.92913564943409e-05,0.002298622624248214,0.0023961803074008057,5,1.2843597708552171e-05,1.2843597708552171e-05,1.790784216781934e-06,1.0620401886328061e-05,1.5066793530776281e-05,5,5.51152869031119e-06,5.51152869031119e-06,1.8570290941164715e-07,5.280985038814897e-06,5.742072341807483e-06,5,1.3345594885570375,1.3345594885570375,0.35457921535839093,0.8943618238440534,1.7747571532700217,5,4.4007971155224365e-06,4.4007971155224365e-06,1.7041748113313315e-07,4.189229787343737e-06,4.612364443701136e-06,5,6.6683535806078e-06,6.6683535806078e-06,2.8682326209149745e-07,6.312272556427008e-06,7.024434604788592e-06,5
epistemic,2,330.0,330.0,0.0,330.0,330.0,5,0.00397980724950999,0.00397980724950999,0.0001549195163654963,0.0037874801012488376,0.0041721343977711425,5,0.002799362888913682,0.002799362888913682,5.246504295805998e-05,0.0027342293774475315,0.0028644964003798324,5,1.585806578849301e-05,1.585806578849301e-05,1.2427858914949236e-06,1.4315190674898557e-05,1.7400940902087464e-05,5,7.838634648413228e-06,7.838634648413228e-06,2.9351688704331804e-07,7.474243723525826e-06,8.20302557330063e-06,5,1.0264554809106734,1.0264554809106734,0.19010788696304953,0.790443204217947,1.2624677576033998,5,6.673224288533675e-06,6.673224288533675e-06,2.865778575919912e-07,6.3174479254354105e-06,7.029000651631939e-06,5,9.0380757683306e-06,9.0380757683306e-06,3.5643013208570547e-07,8.595580255391745e-06,9.480571281269456e-06,5
epistemic,3,330.0,330.0,0.0,330.0,330.0,5,0.00490246574012792,0.00490246574012792,0.0008112132532373667,0.0038953729264716583,0.005909558553784181,5,0.003224857925915225,0.003224857925915225,6.813378281743339e-05,0.0031402722232423226,0.0033094436285881273,5,2.4560623886910353e-05,2.4560623886910353e-05,8.81956784340545e-06,1.3611439613600027e-05,3.550980816022068e-05,5,1.0403422412227055e-05,1.0403422412227055e-05,4.407950214471255e-07,9.856190846885552e-06,1.095065397756856e-05,5,1.3599209082380401,1.3599209082380401,0.8319384461122356,0.32709849422993,2.39274332224615,5,9.043999125424306e-06,9.043999125424306e-06,3.5702423478694275e-07,8.600766054810448e-06,9.487232196038165e-06,5,1.1753169928852003e-05,1.1753169928852003e-05,5.22721520725395e-07,1.1104229486908828e-05,1.2402110370795178e-05,5
epistemic,4,330.0,330.0,0.0,330.0,330.0,5,0.004994468717226565,0.004994468717226565,0.0003188730753663818,0.00459859897349595,0.005390338460957179,5,0.0036421974465821816,0.0036421974465821816,8.41401358888825e-05,0.0035377404177360807,0.0037466544754282825,5,2.502606179790967e-05,2.502606179790967e-05,3.178261426154116e-06,2.1080361663663794e-05,2.8971761932155543e-05,5,1.327126588986368e-05,1.327126588986368e-05,6.180013967696265e-07,1.2504038822218487e-05,1.4038492957508874e-05,5,0.8869821136738827,0.8869821136738827,0.2412007445165715,0.5875398455874397,1.1864243817603257,5,1.175843171949964e-05,1.175843171949964e-05,5.225109589339633e-07,1.1109752682638464e-05,1.2407110756360817e-05,5,1.4930665565771051e-05,1.4930665565771051e-05,7.49115176168301e-07,1.400066533770625e-05,1.5860665793835852e-05,5
epistemic,5,330.0,330.0,0.0,330.0,330.0,5,0.006283954531715215,0.006283954531715215,0.0005569976757594944,0.005592461444981226,0.006975447618449203,5,0.004104448851946136,0.004104448851946136,0.00010296050576788584,0.00397662699371657,0.004232270710175703,5,3.9736281685305364e-05,3.9736281685305364e-05,7.329693918130465e-06,3.063672365689472e-05,4.883583971371601e-05,5,1.6854981070840342e-05,1.6854981070840342e-05,8.493058423030584e-07,1.5800597643342995e-05,1.790936449833769e-05,5,1.3735194066826846,1.3735194066826846,0.536774838706274,0.7071322631600068,2.0399065502053624,5,1.4934576938685495e-05,1.4934576938685495e-05,7.489379446652539e-07,1.4004796737318187e-05,1.5864357140052804e-05,5,1.8885284953285007e-05,1.8885284953285007e-05,9.828329770742043e-07,1.7665132269282696e-05,2.010543763728732e-05,5
