epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,train_loss_geometric_mean,train_loss_geometric_ci95_low,train_loss_geometric_ci95_high,train_loss_geometric_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,val_loss_geometric_mean,val_loss_geometric_ci95_low,val_loss_geometric_ci95_high,val_loss_geometric_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,train_rmse_e_atom_geometric_mean,train_rmse_e_atom_geometric_ci95_low,train_rmse_e_atom_geometric_ci95_high,train_rmse_e_atom_geometric_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n,val_rmse_e_atom_geometric_mean,val_rmse_e_atom_geometric_ci95_low,val_rmse_e_atom_geometric_ci95_high,val_rmse_e_atom_geometric_n
120,-2.500779780791356,-2.500779780791356,0.30067721564291555,-2.8740600026019707,-2.1274995589807415,5,nan,nan,nan,0,-2.451440932750702,-2.451440932750702,0.3011564503701184,-2.8253161076737,-2.0775657578277036,5,nan,nan,nan,0,0.009479239070828035,0.009479239070828035,0.0011568582700787163,0.008043040086694594,0.010915438054961476,5,0.009422306392523902,0.008087294888943289,0.010977695134620847,5,0.010781212978506441,0.010781212978506441,0.007124682110750933,0.001936169921470646,0.019626256035542237,5,0.009042016231085385,0.003960992245674503,0.020640802216286402,5
125,-2.538614048407628,-2.538614048407628,0.24197196224225137,-2.8390137562624638,-2.2382143405527923,5,nan,nan,nan,0,-2.4727113592624663,-2.4727113592624663,0.21797370706930222,-2.7433180746723247,-2.202104643852608,5,nan,nan,nan,0,0.009085636644346924,0.009085636644346924,0.0012822534903311532,0.007493763890487582,0.010677509398206267,5,0.009014653744310378,0.007581946689068274,0.010718089359158425,5,0.01030486956883525,0.01030486956883525,0.006952265330696998,0.0016738758994951242,0.018935863238175372,5,0.008713841281061677,0.003955998065082851,0.019193899648670427,5
130,-2.6660044440856345,-2.6660044440856345,0.4272578657150945,-3.196430105183504,-2.135578782987765,5,nan,nan,nan,0,-2.565712049007416,-2.565712049007416,0.3986193655734506,-3.0605840162135216,-2.07084008180131,5,nan,nan,nan,0,0.00930704396269258,0.00930704396269258,0.0014937075261908855,0.00745265843665761,0.011161429488727549,5,0.009214790989276736,0.0075882494051201675,0.011189981831482914,5,0.01027168352891476,0.01027168352891476,0.006883599665783366,0.0017259358752227689,0.01881743118260675,5,0.008688481609758887,0.003935027322929828,0.019184037743075297,5
135,-2.8316519111853378,-2.8316519111853378,0.4303004880395533,-3.365854881228055,-2.2974489411426204,5,nan,nan,nan,0,-2.6013425362110136,-2.6013425362110136,0.43094188488109897,-3.136341777945847,-2.06634329447618,5,nan,nan,nan,0,0.009481559123858403,0.009481559123858403,0.0011673278923219354,0.008032362470763362,0.010930755776953445,5,0.009426751356646935,0.008131814740280238,0.010927897889737517,5,0.010646611459629592,0.010646611459629592,0.007464898137899375,0.0013792021324859974,0.019914020786773186,5,0.008836725678198239,0.003833424364417117,0.020370226014254908,5
140,-2.803995820742387,-2.803995820742387,0.30952207624030975,-3.188256626893653,-2.419735014591121,5,nan,nan,nan,0,-2.647747737169266,-2.647747737169266,0.3226048468552802,-3.048250344371574,-2.247245129966958,5,nan,nan,nan,0,0.009388035408746675,0.009388035408746675,0.0011612597971763317,0.007946372083034208,0.010829698734459142,5,0.009331968420552283,0.008023765693857144,0.010853461818913323,5,0.010452480766327387,0.010452480766327387,0.007304482928343715,0.0013842212978676192,0.019520740234787157,5,0.008789446180713348,0.003973213919553962,0.019443796817345586,5
145,-2.7537092562822196,-2.7537092562822196,0.4086618613557191,-3.261048629923235,-2.246369882641204,5,nan,nan,nan,0,-2.5557336676120754,-2.5557336676120754,0.2916757769183026,-2.917838918826552,-2.193628416397599,5,nan,nan,nan,0,0.010046813203386015,0.010046813203386015,0.0030126475729032377,0.006306716861712889,0.01378690954505914,5,0.009723847589709735,0.006878503760168237,0.013746188887100531,5,0.01183411442752189,0.01183411442752189,0.006183523662640972,0.004157486587842113,0.019510742267201665,5,0.010577688795930271,0.005424452073002388,0.02062650729654618,5
150,-2.8852845802673928,-2.8852845802673928,0.4053450544898552,-3.3885062544680125,-2.382062906066773,5,nan,nan,nan,0,-2.60613734960556,-2.60613734960556,0.4467982966444495,-3.160821770636364,-2.051452928574756,5,nan,nan,nan,0,0.009102369104208741,0.009102369104208741,0.0013185013418747426,0.007465495913467549,0.010739242294949934,5,0.009027899115264795,0.007563874520799957,0.01077529276976677,5,0.011297632911473052,0.011297632911473052,0.006415499212552869,0.0033330155593834336,0.01926225026356267,5,0.010018308371612527,0.005108048462659575,0.019648698199011293,5
155,-2.8785444305493284,-2.8785444305493284,0.3234744242495972,-3.280126587600261,-2.476962273498396,5,nan,nan,nan,0,-2.696738883256912,-2.696738883256912,0.328811067969511,-3.104946296389301,-2.2885314701245227,5,nan,nan,nan,0,0.00890766043842968,0.00890766043842968,0.0011327497948166495,0.007501391281117661,0.010313929595741698,5,0.008851359600386603,0.007576946852197297,0.010340123575320544,5,0.010183698077443987,0.010183698077443987,0.007097097857176026,0.0013728999041480693,0.018994496250739904,5,0.008571071129793611,0.0038843630122637187,0.01891256303286875,5
160,-2.862865212697249,-2.862865212697249,0.2669461599276241,-3.194269511410772,-2.5314609139837256,5,nan,nan,nan,0,-2.6444631099700926,-2.6444631099700926,0.33194601614949226,-3.0565624513601186,-2.2323637685800666,5,nan,nan,nan,0,0.008786244305860134,0.008786244305860134,0.0010180738182741028,0.007522341353012997,0.010050147258707271,5,0.00873965161901813,0.007577079399932029,0.010080600504528355,5,0.010490386156213916,0.010490386156213916,0.006625299894593959,0.002265308612749763,0.018715463699678067,5,0.009082518104971089,0.00438866488147852,0.018796635732035296,5
165,-3.008235415862157,-3.008235415862157,0.1916183904527623,-3.246122929680783,-2.770347902043531,5,nan,nan,nan,0,-2.7802010011672977,-2.7802010011672977,0.5076803702674931,-3.4104683821430593,-2.149933620191536,5,nan,nan,nan,0,0.009321532750723907,0.009321532750723907,0.0010774551410109535,0.007983909967542358,0.010659155533905456,5,0.009270836590626164,0.008014113609711654,0.010724630979268754,5,0.010830167758639547,0.010830167758639547,0.007616379962853583,0.0013746990566002627,0.02028563646067883,5,0.0090759499630225,0.004068612467589446,0.02024593602548046,5
