epoch,train_loss,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,train_loss_n,val_loss,val_loss_mean,val_loss_std,val_loss_ci95_low,val_loss_ci95_high,val_loss_n,train_rmse_e_atom,train_rmse_e_atom_mean,train_rmse_e_atom_std,train_rmse_e_atom_ci95_low,train_rmse_e_atom_ci95_high,train_rmse_e_atom_n,val_rmse_e_atom,val_rmse_e_atom_mean,val_rmse_e_atom_std,val_rmse_e_atom_ci95_low,val_rmse_e_atom_ci95_high,val_rmse_e_atom_n
100,-3.075630326209068,-3.075630326209068,0.03675406537210767,-3.121259209811727,-3.0300014426064092,5,-2.661066293382645,-2.661066293382645,0.02123653194425638,-2.687430703262157,-2.6347018835031335,5,0.038385783443766794,0.038385783443766794,0.04467162999436405,-0.017072479056379514,0.0938440459439131,5,0.026241771603120835,0.026241771603120835,0.004324914929010164,0.020872541345480628,0.031611001860761045,5
105,-3.1850345107376574,-3.1850345107376574,0.06302350263653277,-3.2632759797267332,-3.1067930417485816,5,-2.695543197327852,-2.695543197327852,0.026405209714051383,-2.7283243394504484,-2.6627620552052558,5,0.018655508643969927,0.018655508643969927,0.0022021342559836224,0.01592163616955357,0.021389381118386286,5,0.025994391641348858,0.025994391641348858,0.004577326671748906,0.020311801054374558,0.03167698222832316,5
110,-3.1293087093710903,-3.1293087093710903,0.07234316410644726,-3.219120211338059,-3.0394972074041218,5,-2.6756465861439707,-2.6756465861439707,0.027406422087024894,-2.709670698326217,-2.6416224739617244,5,0.018589905439259913,0.018589905439259913,0.0020251636582547887,0.016075735757530806,0.02110407512098902,5,0.02597868270374809,0.02597868270374809,0.004056154484340462,0.020943109115721885,0.031014256291774296,5
115,-3.2303787026166915,-3.2303787026166915,0.0596174569055344,-3.3043916852429227,-3.1563657199904602,5,-2.6921600213527683,-2.6921600213527683,0.032156563357003454,-2.7320812673870027,-2.652238775318534,5,0.017900053325903394,0.017900053325903394,0.002187321565595022,0.015184570287287967,0.02061553636451882,5,0.026452553741246748,0.026452553741246748,0.005263462656641433,0.01991814938419585,0.032986958098297645,5
120,-3.2280064707255365,-3.2280064707255365,0.05637441472846824,-3.2979933301864057,-3.1580196112646672,5,-2.687162732732296,-2.687162732732296,0.015922573705104907,-2.70693004975939,-2.667395415705202,5,0.01775233742305806,0.01775233742305806,0.002006141065949927,0.015261783622764428,0.020242891223351694,5,0.025849817850630435,0.025849817850630435,0.0037825468347101815,0.02115391856723915,0.03054571713402172,5
125,-3.2838873724091053,-3.2838873724091053,0.06698220767728237,-3.367043434918459,-3.200731309899752,5,-2.6929829829692844,-2.6929829829692844,0.018795833967442874,-2.7163173518787493,-2.6696486140598195,5,0.016987528119800244,0.016987528119800244,0.001982719933142141,0.01452605083476851,0.01944900540483198,5,0.026444992293803114,0.026444992293803114,0.005743248253233863,0.019314950939334184,0.033575033648272044,5
130,-3.250279491666555,-3.250279491666555,0.09673161292378607,-3.3703683978082535,-3.1301905855248564,5,-2.7001227607011793,-2.7001227607011793,0.04127671848416445,-2.7513663595832494,-2.648879161819109,5,0.01714773698114048,0.01714773698114048,0.0020229856279794034,0.014636271247638938,0.019659202714642027,5,0.025703128979883777,0.025703128979883777,0.004581735698659362,0.020015064740575746,0.03139119321919181,5
135,-3.331445365972519,-3.331445365972519,0.05597133041350336,-3.4009318103880486,-3.2619589215569893,5,-2.7084949789881705,-2.7084949789881705,0.028048585150850753,-2.743316314100631,-2.67367364387571,5,0.016862676554084643,0.016862676554084643,0.0017594588338299692,0.014678370096562175,0.01904698301160711,5,0.025968252445999644,0.025968252445999644,0.004840407484114308,0.01995905625379552,0.03197744863820377,5
140,-3.4206918240427973,-3.4206918240427973,0.055588693866036445,-3.48970323859946,-3.3516804094861343,5,-2.7169503696203234,-2.7169503696203234,0.04087305547830102,-2.767692835032592,-2.666207904208055,5,0.016788803199330144,0.016788803199330144,0.0015943237517120656,0.014809506156804025,0.018768100241856264,5,0.02558410945601035,0.02558410945601035,0.004367255072522505,0.020162315394598097,0.031005903517422606,5
145,-3.4091581659746177,-3.4091581659746177,0.016646870023688382,-3.429824671488207,-3.3884916604610287,5,-2.7084918130517006,-2.7084918130517006,0.024772570752975048,-2.7392460911426335,-2.6777375349607677,5,0.01678904254546217,0.01678904254546217,0.0017690066692681594,0.014592882784979722,0.018985202305944616,5,0.02515923897874417,0.02515923897874417,0.0038429105451140335,0.020388400265171313,0.029930077692317026,5
